tweetID,label,tweetText,fold_number
1228409143637291019,True,"الفيديو المتداول بعنوان «الصين بدأت بقتل المصابين بفيروس #كورونا» غير صحيح, والحقيقة أن الفيديو مفبرك وذلك عبر دمج  ثلاثة مقاطع مختلفة وإستخدام فيديو آخر للشرطة وهي تتعامل مع كلب مسعور.
https://t.co/6buJWYCqrQ https://t.co/6BfD8CWDcy",F_4
1227476392511713285,False,"مشاهد صادمة من #الصين ، تم إعدام عدة مصابين بإطلاق النار عليهم في الشوارع، لا يوجد أخبار مؤكدة عن حقيقة ما يجري سوى أن الحال أصبحت مزرية ويرثى لها
.
#فيروس_كورونا https://t.co/RPns9jbysQ",F_4
1227261397110648833,False,#كورونا_الجديد                                            ودي أتأكد من المقطع هذا هل هو صحيح  أن الصين بدأت تقتل المرضى المصابين بكورونا (لاحول ولاقوة إلابالله ) معقوله وصلوا لدرجة هذه!!!!! https://t.co/cs7jupLNSV,F_4
1227297932166270976,False,"#فيروس_كورونا_الصين 
🈲 بدت عمليات  التطهير في الصين اي مصاب بفيروس كورونا قتل بالرصاص
النظام الشيوعي يتخذ اسهل اجراءات التخلص من الفيروس بقتل المصابين 😒 https://t.co/BUh8YB66A2",F_4
1227526867722350593,False,"فيديو متداول

 الصين بدأت في قتل المصابين بمرض كورونا ...! 
#كورونا #الصين https://t.co/3cRG0CcWkD",F_4
1227594571011514370,False,"الشرطة الصينية تقتل المصابين با #كورونا
في حال عدم التجاوب معهم. https://t.co/Egq78KlRWM",F_4
1227615117988200448,False,"مقطع متداول عن الصين بدأت في قتل المرضى المصابين ب #كورونا👇
نتمنى انه غير صحيح
 @AmbChenWeiQing https://t.co/DeBIYzagd4",F_4
1228154663901388804,False,الصين تقتل مواطنيها المصابين ب #فيروس_كورونا_الجديد في محاولة منها للتخلص من الناس المرضى بدلا من علاجهم https://t.co/vLv7RRMLiy,F_4
1228573338961874944,False,شاهد.. تداول ناشطون فيديو السلطات الصينية وهي تقتل المصابين بمرض #كورونا https://t.co/bvkIDTG8Iv,F_4
1223327873995427841,False,"من أجل الصين نصلي 😞

صورة مسربة من مدينة #ووهان في الصين تظهر حجم الناس الذي تنهار في الشوارع بسبب #فيروس_كورونا 😷 https://t.co/8rzbpFjQRQ",F_3
