tweetID	label	tweetText
1252278353299529729	Other	"#مفتي_روسيا: لا نستبعد احتمال إلغاء #الحج لهذا الموسم بسبب #فيروس_كورونا
#كورونا
#روسيا 

https://t.co/6UUOLbScK4"
1252278970260873218	Other	"#مفتي_روسيا: لا نستبعد احتمال إلغاء #الحج لهذا الموسم بسبب #فيروس_كورونا
#كورونا
#روسيا"
1245398801004847104	Other	"⚡️#فيروس_كورونا: احتمال إلغاء موسم #الحج وعزل بلدة في ريف #دمشق لمنع تفشي الوباء
https://t.co/PN5xXxT42S"
1245486980722556928	Other	"""فيروس كورونا: احتمال إلغاء موسم الحج وعزل بلدة في ريف دمشق لمنع تفشي الوباء""  https://t.co/xz4sztjswA"
1245833623221293058	False	"الغاء الحج هذا العام وإيقاف العمره عشره اشهر
انه العام الاسود حقآ
#كورونا
#كورونا_مصر
#كوفيد١٩"
1245850356736802817	Other	"ما رأيكم ايه المسلمون ايهما اخطر (فيروس كورونا ام هذا المنشور - التمهيد لالغاء موسم الحج -)؟؟
كورونا صناعة امريكية. https://t.co/dzApOeRbKt"
1246118622570962946	Other	"هل فعلا تم الغاء الحج ؟
#كورونا_فيروس"
1246560820156403715	True	"لم يتم إلغاء الحج و لا تأجيل العمرة و اسأل الله العظيم ان يخلصنا من مرسلين الإشاعات
#٣_رمضان
#الغاء_الحج
#الصين
#اكثر_شي_سويته_بالحجر_المنزلي
#كورونا
#حظر_التجول
#الأردن
#الصين
#السعودية
#قطر
#الكويت
#فلسطين
#اليمن
#عمان
#مصر
#لبنان
#سورية
#العراق
#ليبيا
#تونس
#الجزائر
#المغرب https://t.co/ReDQbOCbWw"
1247854374640062470	Other	"#كورونا_الجديد 

الى الذين يتباكون على الغاء الحج والعمرة
الى الذين حزنوا على إغلاق المساجد
#طوفوا_حول_ييوت_الفقراء https://t.co/pcK5x4RzXR"
1248739943142305793	Other	"للآن مش متخيلة رمضان بدون مساجد وسمعت أخبار باحتمالية الغاء الحج اي مصيبة نحن بها ومازال منا غافلون
اللهم لا تآخذنا بما فعل السفهاء منا
لما المساجد تغلق امام المصلين وتفتح لتصوير مسلسلات رمضان فليرحمنا الله من هؤلاء الطغاة فقد ضلوا واضلوا
#فيروس_كورونا 
#المعيز"
1249467192141365248	Other	"لعبة كورونا
الهدف منها اغلاق المساجد في رمضان
والغاء موسم الحج
#ساره_المطرب_في_ذمه_الله"
1245817343386816512	False	"*السعودية تعلن رسميا إلغاء الحج لهذا العام، وإيقاف العمرة لـ10 أشهر.*
#كورونا"
1245824590934413315	False	"#السعودية تعلن رسميا إلغاءموسم #الحج وايقاف #العمرة 10اشهر لهذا العام
 وحظرالتجوال الكلي في #مكة و #المدينة حتى إشعار آخربسبب #كورونا

وصلنا على كلام الشهيدالقائد حين قال انه سيأتي عام يلغوا فيه الحج بسبب وجودوباء
#عليهم_لعنة_الله
____
من يريد الحج والعمرة فليطوف حول بيوت الفقراء"
1245838477989740544	True	"خبر إلغاء الحج غير حقيقي حتى الآن فقط هذا الخبر
#السعودية #كورونا https://t.co/VI7eOjKSrO"
1245839559663013893	False	"للأسف #السعودية تعلن رسميا إلغاء الحج لهذا العام وتأجيل العمرة ل١٠ اشهر قادمة مبدئيا 
يراودني شعور منذ مدة أننا نعيش في سنة ١٩١٨ ونصارع وباءً وأننا سنستيقظ ونقرأ عن هذه الحقبة ونهنىء أنفسنا على النجاة
إذا ضلينا عايشين !
#كورونا #منع_التجول_الكلي #StayHomeSaveLives #خليك_بالبيت"
